epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.35,0.69484,0.48765,1,0.71777,0.0010002,0.0003334,0.0010002,0.0003334,0.0010002,0.0003334,0.0010002,0.0003334
2,20.9189,0.68772,0.58025,1,0.68343,0.00194891,0.000649638,0.00194891,0.000649638,0.00194891,0.000649638,0.00194891,0.000649638
3,29.8683,0.64026,0.65432,1,0.62174,0.00279366,0.00093122,0.00279366,0.00093122,0.00279366,0.00093122,0.00279366,0.00093122
4,38.0592,0.59264,0.72222,1,0.55111,0.00353443,0.00117814,0.00353443,0.00117814,0.00353443,0.00117814,0.00353443,0.00117814
5,46.9739,0.51074,0.79012,1,0.4952,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
6,55.8173,0.46645,0.76543,1,0.43319,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
7,63.4951,0.40642,0.80864,1,0.40251,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
8,72.4683,0.38986,0.81481,1,0.38851,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
9,81.3006,0.36969,0.80247,1,0.36304,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
10,88.6868,0.33536,0.82099,1,0.34985,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
11,99.0268,0.34782,0.80864,1,0.34635,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
12,108.224,0.32821,0.80864,1,0.35685,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
13,115.566,0.31214,0.80864,1,0.32023,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
14,124.146,0.32331,0.81481,1,0.32951,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
15,132.741,0.29215,0.82716,1,0.32349,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
16,140.492,0.33005,0.82099,1,0.33398,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
17,149.582,0.2929,0.82099,1,0.32422,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
18,157.678,0.32162,0.81481,1,0.37048,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
19,166.02,0.29356,0.7963,1,0.33171,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
20,174.236,0.28019,0.7963,1,0.33846,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
